formula,X,B,A,A_w,A_d,A_dw,composition,Tolerance_Factor
Li3OI,Li,O,I,1.0,,,Li3 I1 O1,0.9689981816260096
Li3OI0.875(NO2)0.125,Li,O,I,0.875,NO2,0.125,Li3 I0.875 N0.125 O1.25,0.957540432856783
Li3OI0.75(NO2)0.25,Li,O,I,0.75,NO2,0.25,Li3 I0.75 N0.25 O1.5,0.9460826840875566
Li3OI0.625(NO2)0.375,Li,O,I,0.625,NO2,0.375,Li3 I0.625 N0.375 O1.75,0.93462493531833
Li3OI0.5(NO2)0.5,Li,O,I,0.5,NO2,0.5,Li3 I0.5 N0.5 O2,0.9231671865491036
Li3OI0.375(NO2)0.625,Li,O,I,0.375,NO2,0.625,Li3 I0.375 N0.625 O2.25,0.9117094377798772
Li3OI0.25(NO2)0.75,Li,O,I,0.25,NO2,0.75,Li3 I0.25 N0.75 O2.5,0.9002516890106507
Li3OI0.125(NO2)0.875,Li,O,I,0.125,NO2,0.875,Li3 I0.125 N0.875 O2.75,0.8887939402414242
Li3OI0.875(IO4)0.125,Li,O,I,0.875,IO4,0.125,Li3 I1 O1.5,0.9808651357084226
Li3OI0.75(IO4)0.25,Li,O,I,0.75,IO4,0.25,Li3 I1 O2,0.9927320897908356
Li3OI0.625(IO4)0.375,Li,O,I,0.625,IO4,0.375,Li3 I1 O2.5,1.0045990438732488
Li3OI0.5(IO4)0.5,Li,O,I,0.5,IO4,0.5,Li3 I1 O3,1.016465997955662
Li3OI0.375(IO4)0.625,Li,O,I,0.375,IO4,0.625,Li3 I1 O3.5,1.028332952038075
Li3OI0.25(IO4)0.75,Li,O,I,0.25,IO4,0.75,Li3 I1 O4,1.0401999061204883
Li3OI0.125(IO4)0.875,Li,O,I,0.125,IO4,0.875,Li3 I1 O4.5,1.0520668602029013
Li3OI0.875(ICl4)0.125,Li,O,I,0.875,ICl4,0.125,Li3 I1 Cl0.5 O1,0.984138778213916
Li3OI0.75(ICl4)0.25,Li,O,I,0.75,ICl4,0.25,Li3 I1 Cl1 O1,0.9992793748018224
Li3OI0.625(ICl4)0.375,Li,O,I,0.625,ICl4,0.375,Li3 I1 Cl1.5 O1,1.0144199713897286
Li3OI0.5(ICl4)0.5,Li,O,I,0.5,ICl4,0.5,Li3 I1 Cl2 O1,1.0295605679776352
Li3OI0.375(ICl4)0.625,Li,O,I,0.375,ICl4,0.625,Li3 I1 Cl2.5 O1,1.0447011645655415
Li3OI0.25(ICl4)0.75,Li,O,I,0.25,ICl4,0.75,Li3 I1 Cl3 O1,1.059841761153448
Li3OI0.125(ICl4)0.875,Li,O,I,0.125,ICl4,0.875,Li3 I1 Cl3.5 O1,1.0749823577413542
Li3OI0.875(NH2)0.125,Li,O,I,0.875,NH2,0.125,Li3 H0.25 I0.875 N0.125 O1,0.9489471212798632
Li3OI0.75(NH2)0.25,Li,O,I,0.75,NH2,0.25,Li3 H0.5 I0.75 N0.25 O1,0.9288960609337168
Li3OI0.625(NH2)0.375,Li,O,I,0.625,NH2,0.375,Li3 H0.75 I0.625 N0.375 O1,0.9088450005875706
Li3OI0.5(NH2)0.5,Li,O,I,0.5,NH2,0.5,Li3 H1 I0.5 N0.5 O1,0.8887939402414242
Li3OI0.375(NH2)0.625,Li,O,I,0.375,NH2,0.625,Li3 H1.25 I0.375 N0.625 O1,0.868742879895278
Li3OI0.25(NH2)0.75,Li,O,I,0.25,NH2,0.75,Li3 H1.5 I0.25 N0.75 O1,0.8486918195491316
Li3OI0.125(NH2)0.875,Li,O,I,0.125,NH2,0.875,Li3 H1.75 I0.125 N0.875 O1,0.8286407592029853
Li3ONO2,Li,O,NO2,1.0,,,Li3 N1 O3,0.8773361914721978
Li3OIO4,Li,O,IO4,1.0,,,Li3 I1 O5,1.0639338142853143
Li3O(IO4)0.875(NO2)0.125,Li,O,IO4,0.875,NO2,0.125,Li3 I0.875 N0.125 O4.75,1.0406091114336748
Li3O(IO4)0.75(NO2)0.25,Li,O,IO4,0.75,NO2,0.25,Li3 I0.75 N0.25 O4.5,1.0172844085820354
Li3O(IO4)0.625(NO2)0.375,Li,O,IO4,0.625,NO2,0.375,Li3 I0.625 N0.375 O4.25,0.9939597057303956
Li3O(IO4)0.5(NO2)0.5,Li,O,IO4,0.5,NO2,0.5,Li3 I0.5 N0.5 O4,0.970635002878756
Li3O(IO4)0.375(NO2)0.625,Li,O,IO4,0.375,NO2,0.625,Li3 I0.375 N0.625 O3.75,0.9473103000271166
Li3O(IO4)0.25(NO2)0.75,Li,O,IO4,0.25,NO2,0.75,Li3 I0.25 N0.75 O3.5,0.923985597175477
Li3O(IO4)0.125(NO2)0.875,Li,O,IO4,0.125,NO2,0.875,Li3 I0.125 N0.875 O3.25,0.9006608943238373
Li3O(IO4)0.875(NH2)0.125,Li,O,IO4,0.875,NH2,0.125,Li3 H0.25 I0.875 N0.125 O4.5,1.032015799856755
Li3O(IO4)0.75(NH2)0.25,Li,O,IO4,0.75,NH2,0.25,Li3 H0.5 I0.75 N0.25 O4,1.0000977854281956
Li3O(IO4)0.625(NH2)0.375,Li,O,IO4,0.625,NH2,0.375,Li3 H0.75 I0.625 N0.375 O3.5,0.968179770999636
Li3O(IO4)0.5(NH2)0.5,Li,O,IO4,0.5,NH2,0.5,Li3 H1 I0.5 N0.5 O3,0.9362617565710768
Li3O(IO4)0.375(NH2)0.625,Li,O,IO4,0.375,NH2,0.625,Li3 H1.25 I0.375 N0.625 O2.5,0.9043437421425172
Li3O(IO4)0.25(NH2)0.75,Li,O,IO4,0.25,NH2,0.75,Li3 H1.5 I0.25 N0.75 O2,0.8724257277139579
Li3O(IO4)0.125(NH2)0.875,Li,O,IO4,0.125,NH2,0.875,Li3 H1.75 I0.125 N0.875 O1.5,0.8405077132853984
Li3OCN,Li,O,CN,1.0,,,Li3 C1 N1 O1,0.8740625489667045
Li3O(CN)0.875I0.125,Li,O,CN,0.875,I,0.125,Li3 C0.875 I0.125 N0.875 O1,0.8859295030491177
Li3O(CN)0.75I0.25,Li,O,CN,0.75,I,0.25,Li3 C0.75 I0.25 N0.75 O1,0.8977964571315308
Li3O(CN)0.625I0.375,Li,O,CN,0.625,I,0.375,Li3 C0.625 I0.375 N0.625 O1,0.909663411213944
Li3O(CN)0.5I0.5,Li,O,CN,0.5,I,0.5,Li3 C0.5 I0.5 N0.5 O1,0.921530365296357
Li3O(CN)0.375I0.625,Li,O,CN,0.375,I,0.625,Li3 C0.375 I0.625 N0.375 O1,0.93339731937877
Li3O(CN)0.25I0.75,Li,O,CN,0.25,I,0.75,Li3 C0.25 I0.75 N0.25 O1,0.9452642734611832
Li3O(CN)0.125I0.875,Li,O,CN,0.125,I,0.875,Li3 C0.125 I0.875 N0.125 O1,0.9571312275435964
Li3O(CN)0.875(NO2)0.125,Li,O,CN,0.875,NO2,0.125,Li3 C0.875 N1 O1.25,0.8744717542798912
Li3O(CN)0.75(NO2)0.25,Li,O,CN,0.75,NO2,0.25,Li3 C0.75 N1 O1.5,0.8748809595930779
Li3O(CN)0.625(NO2)0.375,Li,O,CN,0.625,NO2,0.375,Li3 C0.625 N1 O1.75,0.8752901649062645
Li3O(CN)0.5(NO2)0.5,Li,O,CN,0.5,NO2,0.5,Li3 C0.5 N1 O2,0.8756993702194511
Li3O(CN)0.375(NO2)0.625,Li,O,CN,0.375,NO2,0.625,Li3 C0.375 N1 O2.25,0.8761085755326378
Li3O(CN)0.25(NO2)0.75,Li,O,CN,0.25,NO2,0.75,Li3 C0.25 N1 O2.5,0.8765177808458244
Li3O(CN)0.125(NO2)0.875,Li,O,CN,0.125,NO2,0.875,Li3 C0.125 N1 O2.75,0.8769269861590111
Li3O(CN)0.875(IO4)0.125,Li,O,CN,0.875,IO4,0.125,Li3 C0.875 I0.125 N0.875 O1.5,0.8977964571315308
Li3O(CN)0.75(IO4)0.25,Li,O,CN,0.75,IO4,0.25,Li3 C0.75 I0.25 N0.75 O2,0.921530365296357
Li3O(CN)0.625(IO4)0.375,Li,O,CN,0.625,IO4,0.375,Li3 C0.625 I0.375 N0.625 O2.5,0.9452642734611832
Li3O(CN)0.5(IO4)0.5,Li,O,CN,0.5,IO4,0.5,Li3 C0.5 I0.5 N0.5 O3,0.9689981816260096
Li3O(CN)0.375(IO4)0.625,Li,O,CN,0.375,IO4,0.625,Li3 C0.375 I0.625 N0.375 O3.5,0.9927320897908356
Li3O(CN)0.25(IO4)0.75,Li,O,CN,0.25,IO4,0.75,Li3 C0.25 I0.75 N0.25 O4,1.016465997955662
Li3O(CN)0.125(IO4)0.875,Li,O,CN,0.125,IO4,0.875,Li3 C0.125 I0.875 N0.125 O4.5,1.0401999061204883
Li3O(CN)0.875Cl0.125,Li,O,CN,0.875,Cl,0.125,Li3 C0.875 N0.875 Cl0.125 O1,0.8699704958348379
Li3O(CN)0.75Cl0.25,Li,O,CN,0.75,Cl,0.25,Li3 C0.75 N0.75 Cl0.25 O1,0.8658784427029713
Li3O(CN)0.625Cl0.375,Li,O,CN,0.625,Cl,0.375,Li3 C0.625 N0.625 Cl0.375 O1,0.8617863895711048
Li3O(CN)0.5Cl0.5,Li,O,CN,0.5,Cl,0.5,Li3 C0.5 N0.5 Cl0.5 O1,0.8576943364392381
Li3O(CN)0.375Cl0.625,Li,O,CN,0.375,Cl,0.625,Li3 C0.375 N0.375 Cl0.625 O1,0.8536022833073715
Li3O(CN)0.25Cl0.75,Li,O,CN,0.25,Cl,0.75,Li3 C0.25 N0.25 Cl0.75 O1,0.849510230175505
Li3O(CN)0.125Cl0.875,Li,O,CN,0.125,Cl,0.875,Li3 C0.125 N0.125 Cl0.875 O1,0.8454181770436383
Li3O(CN)0.875(ICl4)0.125,Li,O,CN,0.875,ICl4,0.125,Li3 C0.875 I0.125 N0.875 Cl0.5 O1,0.901070099637024
Li3O(CN)0.75(ICl4)0.25,Li,O,CN,0.75,ICl4,0.25,Li3 C0.75 I0.25 N0.75 Cl1 O1,0.9280776503073436
Li3O(CN)0.625(ICl4)0.375,Li,O,CN,0.625,ICl4,0.375,Li3 C0.625 I0.375 N0.625 Cl1.5 O1,0.955085200977663
Li3O(CN)0.5(ICl4)0.5,Li,O,CN,0.5,ICl4,0.5,Li3 C0.5 I0.5 N0.5 Cl2 O1,0.9820927516479826
Li3O(CN)0.375(ICl4)0.625,Li,O,CN,0.375,ICl4,0.625,Li3 C0.375 I0.625 N0.375 Cl2.5 O1,1.009100302318302
Li3O(CN)0.25(ICl4)0.75,Li,O,CN,0.25,ICl4,0.75,Li3 C0.25 I0.75 N0.25 Cl3 O1,1.0361078529886216
Li3O(CN)0.125(ICl4)0.875,Li,O,CN,0.125,ICl4,0.875,Li3 C0.125 I0.875 N0.125 Cl3.5 O1,1.0631154036589412
Li3O(CN)0.875F0.125,Li,O,CN,0.875,F,0.125,Li3 C0.875 N0.875 O1 F0.125,0.8503286408018783
Li3O(CN)0.75F0.25,Li,O,CN,0.75,F,0.25,Li3 C0.75 N0.75 O1 F0.25,0.8265947326370521
Li3O(CN)0.625F0.375,Li,O,CN,0.625,F,0.375,Li3 C0.625 N0.625 O1 F0.375,0.8028608244722257
Li3O(CN)0.5F0.5,Li,O,CN,0.5,F,0.5,Li3 C0.5 N0.5 O1 F0.5,0.7791269163073995
Li3O(CN)0.375F0.625,Li,O,CN,0.375,F,0.625,Li3 C0.375 N0.375 O1 F0.625,0.7553930081425733
Li3O(CN)0.25F0.75,Li,O,CN,0.25,F,0.75,Li3 C0.25 N0.25 O1 F0.75,0.731659099977747
Li3O(CN)0.125F0.875,Li,O,CN,0.125,F,0.875,Li3 C0.125 N0.125 O1 F0.875,0.7079251918129208
Li3O(CN)0.875(ClO4)0.125,Li,O,CN,0.875,ClO4,0.125,Li3 C0.875 N0.875 Cl0.125 O1.5,0.8941136093128508
Li3O(CN)0.75(ClO4)0.25,Li,O,CN,0.75,ClO4,0.25,Li3 C0.75 N0.75 Cl0.25 O2,0.9141646696589972
Li3O(CN)0.625(ClO4)0.375,Li,O,CN,0.625,ClO4,0.375,Li3 C0.625 N0.625 Cl0.375 O2.5,0.9342157300051436
Li3O(CN)0.5(ClO4)0.5,Li,O,CN,0.5,ClO4,0.5,Li3 C0.5 N0.5 Cl0.5 O3,0.9542667903512898
Li3O(CN)0.375(ClO4)0.625,Li,O,CN,0.375,ClO4,0.625,Li3 C0.375 N0.375 Cl0.625 O3.5,0.974317850697436
Li3O(CN)0.25(ClO4)0.75,Li,O,CN,0.25,ClO4,0.75,Li3 C0.25 N0.25 Cl0.75 O4,0.9943689110435824
Li3O(CN)0.125(ClO4)0.875,Li,O,CN,0.125,ClO4,0.875,Li3 C0.125 N0.125 Cl0.875 O4.5,1.0144199713897286
Li3O(CN)0.875(NH2)0.125,Li,O,CN,0.875,NH2,0.125,Li3 H0.25 C0.875 N1 O1,0.8658784427029713
Li3O(CN)0.75(NH2)0.25,Li,O,CN,0.75,NH2,0.25,Li3 H0.5 C0.75 N1 O1,0.8576943364392381
Li3O(CN)0.625(NH2)0.375,Li,O,CN,0.625,NH2,0.375,Li3 H0.75 C0.625 N1 O1,0.849510230175505
Li3O(CN)0.5(NH2)0.5,Li,O,CN,0.5,NH2,0.5,Li3 H1 C0.5 N1 O1,0.8413261239117718
Li3O(CN)0.375(NH2)0.625,Li,O,CN,0.375,NH2,0.625,Li3 H1.25 C0.375 N1 O1,0.8331420176480385
Li3O(CN)0.25(NH2)0.75,Li,O,CN,0.25,NH2,0.75,Li3 H1.5 C0.25 N1 O1,0.8249579113843054
Li3O(CN)0.125(NH2)0.875,Li,O,CN,0.125,NH2,0.875,Li3 H1.75 C0.125 N1 O1,0.8167738051205722
Li3OCl,Li,O,Cl,1.0,,,Li3 Cl1 O1,0.8413261239117718
Li3OCl0.875I0.125,Li,O,Cl,0.875,I,0.125,Li3 I0.125 Cl0.875 O1,0.8572851311260514
Li3OCl0.75I0.25,Li,O,Cl,0.75,I,0.25,Li3 I0.25 Cl0.75 O1,0.8732441383403312
Li3OCl0.625I0.375,Li,O,Cl,0.625,I,0.375,Li3 I0.375 Cl0.625 O1,0.8892031455546109
Li3OCl0.5I0.5,Li,O,Cl,0.5,I,0.5,Li3 I0.5 Cl0.5 O1,0.9051621527688908
Li3OCl0.375I0.625,Li,O,Cl,0.375,I,0.625,Li3 I0.625 Cl0.375 O1,0.9211211599831703
Li3OCl0.25I0.75,Li,O,Cl,0.25,I,0.75,Li3 I0.75 Cl0.25 O1,0.93708016719745
Li3OCl0.125I0.875,Li,O,Cl,0.125,I,0.875,Li3 I0.875 Cl0.125 O1,0.9530391744117298
Li3OCl0.875(NO2)0.125,Li,O,Cl,0.875,NO2,0.125,Li3 N0.125 Cl0.875 O1.25,0.845827382356825
Li3OCl0.75(NO2)0.25,Li,O,Cl,0.75,NO2,0.25,Li3 N0.25 Cl0.75 O1.5,0.8503286408018783
Li3OCl0.625(NO2)0.375,Li,O,Cl,0.625,NO2,0.375,Li3 N0.375 Cl0.625 O1.75,0.8548298992469315
Li3OCl0.5(NO2)0.5,Li,O,Cl,0.5,NO2,0.5,Li3 N0.5 Cl0.5 O2,0.8593311576919848
Li3OCl0.375(NO2)0.625,Li,O,Cl,0.375,NO2,0.625,Li3 N0.625 Cl0.375 O2.25,0.863832416137038
Li3OCl0.25(NO2)0.75,Li,O,Cl,0.25,NO2,0.75,Li3 N0.75 Cl0.25 O2.5,0.8683336745820913
Li3OCl0.125(NO2)0.875,Li,O,Cl,0.125,NO2,0.875,Li3 N0.875 Cl0.125 O2.75,0.8728349330271445
Li3OCl0.875(IO4)0.125,Li,O,Cl,0.875,IO4,0.125,Li3 I0.125 Cl0.875 O1.5,0.8691520852084647
Li3OCl0.75(IO4)0.25,Li,O,Cl,0.75,IO4,0.25,Li3 I0.25 Cl0.75 O2,0.8969780465051574
Li3OCl0.625(IO4)0.375,Li,O,Cl,0.625,IO4,0.375,Li3 I0.375 Cl0.625 O2.5,0.9248040078018502
Li3OCl0.5(IO4)0.5,Li,O,Cl,0.5,IO4,0.5,Li3 I0.5 Cl0.5 O3,0.9526299690985433
Li3OCl0.375(IO4)0.625,Li,O,Cl,0.375,IO4,0.625,Li3 I0.625 Cl0.375 O3.5,0.980455930395236
Li3OCl0.25(IO4)0.75,Li,O,Cl,0.25,IO4,0.75,Li3 I0.75 Cl0.25 O4,1.0082818916919287
Li3OCl0.125(IO4)0.875,Li,O,Cl,0.125,IO4,0.875,Li3 I0.875 Cl0.125 O4.5,1.0361078529886216
Li3OCl0.875(ICl4)0.125,Li,O,Cl,0.875,ICl4,0.125,Li3 I0.125 Cl1.375 O1,0.8724257277139579
Li3OCl0.75(ICl4)0.25,Li,O,Cl,0.75,ICl4,0.25,Li3 I0.25 Cl1.75 O1,0.903525331516144
Li3OCl0.625(ICl4)0.375,Li,O,Cl,0.625,ICl4,0.375,Li3 I0.375 Cl2.125 O1,0.93462493531833
Li3OCl0.5(ICl4)0.5,Li,O,Cl,0.5,ICl4,0.5,Li3 I0.5 Cl2.5 O1,0.9657245391205164
Li3OCl0.375(ICl4)0.625,Li,O,Cl,0.375,ICl4,0.625,Li3 I0.625 Cl2.875 O1,0.9968241429227024
Li3OCl0.25(ICl4)0.75,Li,O,Cl,0.25,ICl4,0.75,Li3 I0.75 Cl3.25 O1,1.0279237467248885
Li3OCl0.125(ICl4)0.875,Li,O,Cl,0.125,ICl4,0.875,Li3 I0.875 Cl3.625 O1,1.0590233505270743
Li3OCl0.875F0.125,Li,O,Cl,0.875,F,0.125,Li3 Cl0.875 O1 F0.125,0.8216842688788121
Li3OCl0.75F0.25,Li,O,Cl,0.75,F,0.25,Li3 Cl0.75 O1 F0.25,0.8020424138458525
Li3OCl0.625F0.375,Li,O,Cl,0.625,F,0.375,Li3 Cl0.625 O1 F0.375,0.7824005588128928
Li3OCl0.5F0.5,Li,O,Cl,0.5,F,0.5,Li3 Cl0.5 O1 F0.5,0.7627587037799332
Li3OCl0.375F0.625,Li,O,Cl,0.375,F,0.625,Li3 Cl0.375 O1 F0.625,0.7431168487469735
Li3OCl0.25F0.75,Li,O,Cl,0.25,F,0.75,Li3 Cl0.25 O1 F0.75,0.7234749937140138
Li3OCl0.125F0.875,Li,O,Cl,0.125,F,0.875,Li3 Cl0.125 O1 F0.875,0.7038331386810542
Li3OCl0.875(ClO4)0.125,Li,O,Cl,0.875,ClO4,0.125,Li3 Cl1 O1.5,0.8654692373897847
Li3OCl0.75(ClO4)0.25,Li,O,Cl,0.75,ClO4,0.25,Li3 Cl1 O2,0.8896123508677976
Li3OCl0.625(ClO4)0.375,Li,O,Cl,0.625,ClO4,0.375,Li3 Cl1 O2.5,0.9137554643458105
Li3OCl0.5(ClO4)0.5,Li,O,Cl,0.5,ClO4,0.5,Li3 Cl1 O3,0.9378985778238234
Li3OCl0.375(ClO4)0.625,Li,O,Cl,0.375,ClO4,0.625,Li3 Cl1 O3.5,0.9620416913018364
Li3OCl0.25(ClO4)0.75,Li,O,Cl,0.25,ClO4,0.75,Li3 Cl1 O4,0.9861848047798492
Li3OCl0.125(ClO4)0.875,Li,O,Cl,0.125,ClO4,0.875,Li3 Cl1 O4.5,1.0103279182578622
Li3OCl0.875(NH2)0.125,Li,O,Cl,0.875,NH2,0.125,Li3 H0.25 N0.125 Cl0.875 O1,0.8372340707799052
Li3OCl0.75(NH2)0.25,Li,O,Cl,0.75,NH2,0.25,Li3 H0.5 N0.25 Cl0.75 O1,0.8331420176480385
Li3OCl0.625(NH2)0.375,Li,O,Cl,0.625,NH2,0.375,Li3 H0.75 N0.375 Cl0.625 O1,0.829049964516172
Li3OCl0.5(NH2)0.5,Li,O,Cl,0.5,NH2,0.5,Li3 H1 N0.5 Cl0.5 O1,0.8249579113843054
Li3OCl0.375(NH2)0.625,Li,O,Cl,0.375,NH2,0.625,Li3 H1.25 N0.625 Cl0.375 O1,0.8208658582524387
Li3OCl0.25(NH2)0.75,Li,O,Cl,0.25,NH2,0.75,Li3 H1.5 N0.75 Cl0.25 O1,0.8167738051205722
Li3OCl0.125(NH2)0.875,Li,O,Cl,0.125,NH2,0.875,Li3 H1.75 N0.875 Cl0.125 O1,0.8126817519887056
Li3OICl4,Li,O,ICl4,1.0,,,Li3 I1 Cl4 O1,1.0901229543292608
Li3O(ICl4)0.875(NO2)0.125,Li,O,ICl4,0.875,NO2,0.125,Li3 I0.875 N0.125 Cl3.5 O1.25,1.0635246089721275
Li3O(ICl4)0.75(NO2)0.25,Li,O,ICl4,0.75,NO2,0.25,Li3 I0.75 N0.25 Cl3 O1.5,1.036926263614995
Li3O(ICl4)0.625(NO2)0.375,Li,O,ICl4,0.625,NO2,0.375,Li3 I0.625 N0.375 Cl2.5 O1.75,1.0103279182578622
Li3O(ICl4)0.5(NO2)0.5,Li,O,ICl4,0.5,NO2,0.5,Li3 I0.5 N0.5 Cl2 O2,0.9837295729007292
Li3O(ICl4)0.375(NO2)0.625,Li,O,ICl4,0.375,NO2,0.625,Li3 I0.375 N0.625 Cl1.5 O2.25,0.9571312275435964
Li3O(ICl4)0.25(NO2)0.75,Li,O,ICl4,0.25,NO2,0.75,Li3 I0.25 N0.75 Cl1 O2.5,0.9305328821864636
Li3O(ICl4)0.125(NO2)0.875,Li,O,ICl4,0.125,NO2,0.875,Li3 I0.125 N0.875 Cl0.5 O2.75,0.9039345368293308
Li3O(ICl4)0.875(IO4)0.125,Li,O,ICl4,0.875,IO4,0.125,Li3 I1 Cl3.5 O1.5,1.0868493118237674
Li3O(ICl4)0.75(IO4)0.25,Li,O,ICl4,0.75,IO4,0.25,Li3 I1 Cl3 O2,1.083575669318274
Li3O(ICl4)0.625(IO4)0.375,Li,O,ICl4,0.625,IO4,0.375,Li3 I1 Cl2.5 O2.5,1.0803020268127808
Li3O(ICl4)0.5(IO4)0.5,Li,O,ICl4,0.5,IO4,0.5,Li3 I1 Cl2 O3,1.0770283843072876
Li3O(ICl4)0.375(IO4)0.625,Li,O,ICl4,0.375,IO4,0.625,Li3 I1 Cl1.5 O3.5,1.0737547418017943
Li3O(ICl4)0.25(IO4)0.75,Li,O,ICl4,0.25,IO4,0.75,Li3 I1 Cl1 O4,1.070481099296301
Li3O(ICl4)0.125(IO4)0.875,Li,O,ICl4,0.125,IO4,0.875,Li3 I1 Cl0.5 O4.5,1.067207456790808
Li3O(ICl4)0.875(NH2)0.125,Li,O,ICl4,0.875,NH2,0.125,Li3 H0.25 I0.875 N0.125 Cl3.5 O1,1.054931297395208
Li3O(ICl4)0.75(NH2)0.25,Li,O,ICl4,0.75,NH2,0.25,Li3 H0.5 I0.75 N0.25 Cl3 O1,1.0197396404611552
Li3O(ICl4)0.625(NH2)0.375,Li,O,ICl4,0.625,NH2,0.375,Li3 H0.75 I0.625 N0.375 Cl2.5 O1,0.9845479835271026
Li3O(ICl4)0.5(NH2)0.5,Li,O,ICl4,0.5,NH2,0.5,Li3 H1 I0.5 N0.5 Cl2 O1,0.9493563265930498
Li3O(ICl4)0.375(NH2)0.625,Li,O,ICl4,0.375,NH2,0.625,Li3 H1.25 I0.375 N0.625 Cl1.5 O1,0.9141646696589972
Li3O(ICl4)0.25(NH2)0.75,Li,O,ICl4,0.25,NH2,0.75,Li3 H1.5 I0.25 N0.75 Cl1 O1,0.8789730127249444
Li3O(ICl4)0.125(NH2)0.875,Li,O,ICl4,0.125,NH2,0.875,Li3 H1.75 I0.125 N0.875 Cl0.5 O1,0.8437813557908918
Li3O(AlF4)0.625I0.375,Li,O,AlF4,0.625,I,0.375,Li3 Al0.625 I0.375 O1 F2.5,1.0815296427523409
Li3O(AlF4)0.5I0.5,Li,O,AlF4,0.5,I,0.5,Li3 Al0.5 I0.5 O1 F2,1.0590233505270743
Li3O(AlF4)0.375I0.625,Li,O,AlF4,0.375,I,0.625,Li3 Al0.375 I0.625 O1 F1.5,1.0365170583018084
Li3O(AlF4)0.25I0.75,Li,O,AlF4,0.25,I,0.75,Li3 Al0.25 I0.75 O1 F1,1.014010766076542
Li3O(AlF4)0.125I0.875,Li,O,AlF4,0.125,I,0.875,Li3 Al0.125 I0.875 O1 F0.5,0.9915044738512756
Li3O(AlF4)0.75(NO2)0.25,Li,O,AlF4,0.75,NO2,0.25,Li3 Al0.75 N0.25 O1.5 F3,1.081120437439154
Li3O(AlF4)0.625(NO2)0.375,Li,O,AlF4,0.625,NO2,0.375,Li3 Al0.625 N0.375 O1.75 F2.5,1.0471563964446615
Li3O(AlF4)0.5(NO2)0.5,Li,O,AlF4,0.5,NO2,0.5,Li3 Al0.5 N0.5 O2 F2,1.0131923554501687
Li3O(AlF4)0.375(NO2)0.625,Li,O,AlF4,0.375,NO2,0.625,Li3 Al0.375 N0.625 O2.25 F1.5,0.979228314455676
Li3O(AlF4)0.25(NO2)0.75,Li,O,AlF4,0.25,NO2,0.75,Li3 Al0.25 N0.75 O2.5 F1,0.9452642734611832
Li3O(AlF4)0.125(NO2)0.875,Li,O,AlF4,0.125,NO2,0.875,Li3 Al0.125 N0.875 O2.75 F0.5,0.9113002324666906
Li3O(AlF4)0.375(IO4)0.625,Li,O,AlF4,0.375,IO4,0.625,Li3 Al0.375 I0.625 O3.5 F1.5,1.095851828713874
Li3O(AlF4)0.25(IO4)0.75,Li,O,AlF4,0.25,IO4,0.75,Li3 Al0.25 I0.75 O4 F1,1.0852124905710208
Li3O(AlF4)0.125(IO4)0.875,Li,O,AlF4,0.125,IO4,0.875,Li3 Al0.125 I0.875 O4.5 F0.5,1.0745731524281676
Li3O(AlF4)0.75(CN)0.25,Li,O,AlF4,0.75,CN,0.25,Li3 Al0.75 C0.25 N0.25 O1 F3,1.0803020268127808
Li3O(AlF4)0.625(CN)0.375,Li,O,AlF4,0.625,CN,0.375,Li3 Al0.625 C0.375 N0.375 O1 F2.5,1.0459287805051014
Li3O(AlF4)0.5(CN)0.5,Li,O,AlF4,0.5,CN,0.5,Li3 Al0.5 C0.5 N0.5 O1 F2,1.011555534197422
Li3O(AlF4)0.375(CN)0.625,Li,O,AlF4,0.375,CN,0.625,Li3 Al0.375 C0.625 N0.625 O1 F1.5,0.9771822878897428
Li3O(AlF4)0.25(CN)0.75,Li,O,AlF4,0.25,CN,0.75,Li3 Al0.25 C0.75 N0.75 O1 F1,0.9428090415820632
Li3O(AlF4)0.125(CN)0.875,Li,O,AlF4,0.125,CN,0.875,Li3 Al0.125 C0.875 N0.875 O1 F0.5,0.908435795274384
Li3O(AlF4)0.75Cl0.25,Li,O,AlF4,0.75,Cl,0.25,Li3 Al0.75 Cl0.25 O1 F3,1.0721179205490476
Li3O(AlF4)0.625Cl0.375,Li,O,AlF4,0.625,Cl,0.375,Li3 Al0.625 Cl0.375 O1 F2.5,1.0336526211095016
Li3O(AlF4)0.5Cl0.5,Li,O,AlF4,0.5,Cl,0.5,Li3 Al0.5 Cl0.5 O1 F2,0.9951873216699556
Li3O(AlF4)0.375Cl0.625,Li,O,AlF4,0.375,Cl,0.625,Li3 Al0.375 Cl0.625 O1 F1.5,0.9567220222304096
Li3O(AlF4)0.25Cl0.75,Li,O,AlF4,0.25,Cl,0.75,Li3 Al0.25 Cl0.75 O1 F1,0.9182567227908636
Li3O(AlF4)0.125Cl0.875,Li,O,AlF4,0.125,Cl,0.875,Li3 Al0.125 Cl0.875 O1 F0.5,0.8797914233513178
Li3O(AlF4)0.125(ICl4)0.875,Li,O,AlF4,0.125,ICl4,0.875,Li3 Al0.125 I0.875 Cl3.5 O1 F0.5,1.0974886499666203
Li3O(AlF4)0.75(BH4)0.25,Li,O,AlF4,0.75,BH4,0.25,Li3 Al0.75 B0.25 H1 O1 F3,1.0901229543292608
Li3O(AlF4)0.625(BH4)0.375,Li,O,AlF4,0.625,BH4,0.375,Li3 Al0.625 B0.375 H1.5 O1 F2.5,1.0606601717798212
